"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Index Keywords","Publisher","Document Type","Publication Stage","Source","EID"
"Nagaraj D.; Khandelwal P.; Steyaert S.; Gevaert O.","Nagaraj, Divya (58174920600); Khandelwal, Priya (57866673700); Steyaert, Sandra (56418037200); Gevaert, Olivier (23003890000)","58174920600; 57866673700; 56418037200; 23003890000","Augmenting digital twins with federated learning in medicine","2023","The Lancet Digital Health","0","10.1016/S2589-7500(23)00044-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152943727&doi=10.1016%2fS2589-7500%2823%2900044-4&partnerID=40&md5=86bc7d8459c490953ba67e9b407527b8","[No abstract available]","Medicine; medicine","Elsevier Ltd","Note","Final","Scopus","2-s2.0-85152943727"
"","","","Correction to Lancet Digit Health 2022; 4: e862–72 (The Lancet Digital Health (2022) 4(12) (e862–e872), (S258975002200173X), (10.1016/S2589-7500(22)00173-X))","2023","The Lancet Digital Health","0","10.1016/S2589-7500(22)00236-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144269130&doi=10.1016%2fS2589-7500%2822%2900236-9&partnerID=40&md5=bdef96e774b1845d4d461bab4e829a0c","Fainberg HP, Oldham JM, Molyneaux PL, et al. Forced vital capacity trajectories in patients with idiopathic pulmonary fibrosis: a secondary analysis of a multicentre, prospective, observational cohort. Lancet Digit Health 2022; 4: e862–72—In this Article, the spelling of author Philip L Molyneaux's name was incorrect. This correction has been made as of Dec 19, 2022. © 2023 Elsevier Ltd","erratum","Elsevier Ltd","Erratum","Final","Scopus","2-s2.0-85144269130"
"","","","Erratum: Correction to Lancet Digit Health 2022; 4: e497-506 (The Lancet. Digital health (2022) 4 7 (e497-e506) PII: S2589-7500(22)00215-1)","2022","The Lancet. Digital health","0","10.1016/S2589-7500(22)00215-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142940733&doi=10.1016%2fS2589-7500%2822%2900215-1&partnerID=40&md5=b4b8daa565852e83e29f54dcd99b0383","[No abstract available]","erratum","NLM (Medline)","Erratum","Final","Scopus","2-s2.0-85142940733"
"Vayena E.; Blasimme A.; Sugarman J.","Vayena, Effy (6507718293); Blasimme, Alessandro (36098815500); Sugarman, Jeremy (7102424530)","6507718293; 36098815500; 7102424530","Decentralised clinical trials: ethical opportunities and challenges","2023","The Lancet Digital Health","0","10.1016/S2589-7500(23)00052-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159767723&doi=10.1016%2fS2589-7500%2823%2900052-3&partnerID=40&md5=5ae91ae5b3eb967c8650cc3f27b0b4b9","Fuelled by adaptations to clinical trial implementation during the COVID-19 pandemic, decentralised clinical trials are burgeoning. Decentralised clinical trials involve many digital tools to facilitate research without physical contact between research teams and participants at various stages, such as recruitment, enrolment, informed consent, administering study interventions, obtaining patient-reported outcome measures, and safety monitoring. These tools can provide ways of ensuring participants' safety and research integrity, while sometimes reducing participant burden and trial cost. Research sponsors and investigators are interested in expanding the use of decentralised clinical trials. The US Food and Drug Administration and other regulators worldwide have issued guidance on how to implement such adaptations. However, there has been little focus on the distinct ethical challenges these trials pose. In this Health Policy report, which is informed by both traditional research ethics and digital ethics frameworks, we group the related ethical issues under three areas requiring increased ethical vigilance: participants' safety and rights, scientific validity, and ethics oversight. Our aim is to describe these issues, offer practical means of addressing them, and prompt the delineation of ethical standards for decentralised trials. © 2023 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY-NC-ND 4.0 license","COVID-19; Ethics, Research; Humans; Informed Consent; Pandemics; Research Personnel; COVID-19; Digital devices; Medical applications; Patient treatment; Clinical trial; Decentralised; Digital tools; Outcome measures; Patient-reported outcomes; Physical contacts; Research integrities; Research teams; Safety integrity; Safety monitoring; alertness; clinical trial (topic); coronavirus disease 2019; decentralization; decentralized clinical trial (topic); digital technology; Food and Drug Administration; human; informed consent; interpersonal communication; miscellaneous named groups; patient right; patient-reported outcome; practice guideline; privacy; research ethics; research investigator; research sponsor; research subject; research team; Review; safety; standardization; wellbeing; coronavirus disease 2019; pandemic; personnel; research ethics; Philosophical aspects","Elsevier Ltd","Review","Final","Scopus","2-s2.0-85159767723"
"McLean K.A.; Knight S.R.; Diehl T.M.; Varghese C.; Ng N.; Potter M.A.; Zafar S.N.; Bouamrane M.-M.; Harrison E.M.","McLean, Kenneth A (7101962523); Knight, Stephen R (57200937315); Diehl, Thomas M (57221483139); Varghese, Chris (57212673365); Ng, Nathan (57221698915); Potter, Mark A (16736585900); Zafar, Syed Nabeel (58045962800); Bouamrane, Matt-Mouley (13610567600); Harrison, Ewen M (12761083200)","7101962523; 57200937315; 57221483139; 57212673365; 57221698915; 16736585900; 58045962800; 13610567600; 12761083200","Readiness for implementation of novel digital health interventions for postoperative monitoring: a systematic review and clinical innovation network analysis","2023","The Lancet Digital Health","1","10.1016/S2589-7500(23)00026-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153309823&doi=10.1016%2fS2589-7500%2823%2900026-2&partnerID=40&md5=0a39a29488abcbd346a93d4a0a9350a1","An increasing number of digital health interventions (DHIs) for remote postoperative monitoring have been developed and evaluated. This systematic review identifies DHIs for postoperative monitoring and evaluates their readiness for implementation into routine health care. Studies were defined according to idea, development, exploration, assessment, and long-term follow-up (IDEAL) stages of innovation. A novel clinical innovation network analysis used coauthorship and citations to examine collaboration and progression within the field. 126 DHIs were identified, with 101 (80%) being early stage innovations (IDEAL stage 1 and 2a). None of the DHIs identified had large-scale routine implementation. There is little evidence of collaboration, and there are clear omissions in the evaluation of feasibility, accessibility, and the health-care impact. Use of DHIs for postoperative monitoring remains at an early stage of innovation, with promising but generally low-quality supporting evidence. Comprehensive evaluation within high-quality, large-scale trials and real-world data are required to definitively establish readiness for routine implementation. © 2023 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY 4.0 license","Telemedicine; Health care; Co-authorships; Comprehensive evaluation; Health interventions; High quality; Innovation ideas; Innovation network; Large-scales; Long-term follow-up; Low qualities; Systematic Review; feasibility study; follow up; human; network analysis; postoperative monitoring; review; systematic review; telemedicine; Quality control","Elsevier Ltd","Review","Final","Scopus","2-s2.0-85153309823"
"Jiang R.; Noble S.; Sui J.; Yoo K.; Rosenblatt M.; Horien C.; Qi S.; Liang Q.; Sun H.; Calhoun V.D.; Scheinost D.","Jiang, Rongtao (57189871794); Noble, Stephanie (57192168434); Sui, Jing (56579803600); Yoo, Kwangsun (38461745800); Rosenblatt, Matthew (57880172000); Horien, Corey (55339961500); Qi, Shile (57192915942); Liang, Qinghao (57224201214); Sun, Huili (57981637300); Calhoun, Vince D (57898536200); Scheinost, Dustin (25628822400)","57189871794; 57192168434; 56579803600; 38461745800; 57880172000; 55339961500; 57192915942; 57224201214; 57981637300; 57898536200; 25628822400","Associations of physical frailty with health outcomes and brain structure in 483 033 middle-aged and older adults: a population-based study from the UK Biobank","2023","The Lancet Digital Health","1","10.1016/S2589-7500(23)00043-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153854669&doi=10.1016%2fS2589-7500%2823%2900043-2&partnerID=40&md5=ff8b5b754eb39424071bd7cdbab11c12","Background: Physical frailty is a state of increased vulnerability to stressors and is associated with serious health issues. However, how frailty affects and is affected by numerous other factors, including mental health and brain structure, remains underexplored. We aimed to investigate the mutual effects of frailty and health using large, multidimensional data. Methods: For this population-based study, we used data from the UK Biobank to examine the pattern and direction of association between physical frailty and 325 health-related measures across multiple domains, using linear mixed-effect models and adjusting for numerous confounders. Participants were included if complete data were available for all five indicators of frailty, all covariates, and at least one health measure. We further examined the association between frailty and brain structure and the role of this association in mediating the relationship between frailty and health outcomes. Findings: 483 033 participants aged 38–73 years were included in the study at baseline (between Dec 19, 2006, and Oct 1, 2010); at a median follow-up of 9 years (IQR 8–10), behavioural data were available for 46 501 participants and neuroimaging data for 40 210 participants. The severity of physical frailty was significantly associated with decreased cognitive performance (Cohen's d=0·025–0·162), increased early-life risks (d=0·026–0·111), unhealthy lifestyle (d=0·013–0·394), poor physical fitness (d=0·007–0·668), increased symptoms of poor mental health (d=0·032–0·607), severe environmental pollution (d=0·013–0·064), and adverse biochemical markers (d=0·025–0·198). Some associations were bidirectional, with the strongest effects on mental health measures. The severity of frailty correlated with increased total white matter hyperintensity and lower grey matter volume, particularly in subcortical regions (d=0·027–0·082), which significantly mediated the association between frailty and health-related outcomes, although the mediated effects were small. Interpretation: Physical frailty is associated with diverse unfavourable health-related outcomes, which can be mediated by differences in brain structure. Our findings offer a framework for guiding preventative strategies targeting both frailty and psychiatric disorders. Funding: National Institute of Mental Health, National Science Foundation. © 2023 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY 4.0 license","Aged; Biological Specimen Banks; Brain; Frailty; Humans; Middle Aged; Outcome Assessment, Health Care; United Kingdom; Biochemistry; Population statistics; Biobanks; Brain structure; Health issues; Health measures; Health outcomes; Health structures; Mental health; Multidimensional data; Mutual effects; Older adults; aged; biobank; brain; diagnostic imaging; frailty; human; middle aged; outcome assessment; United Kingdom; Neuroimaging","Elsevier Ltd","Article","Final","Scopus","2-s2.0-85153854669"
"Oikonomou E.K.; Spatz E.S.; Suchard M.A.; Khera R.","Oikonomou, Evangelos K (57217646083); Spatz, Erica S (6701858908); Suchard, Marc A (6603887291); Khera, Rohan (55974983700)","57217646083; 6701858908; 6603887291; 55974983700","Individualising intensive systolic blood pressure reduction in hypertension using computational trial phenomaps and machine learning: a post-hoc analysis of randomised clinical trials","2022","The Lancet Digital Health","2","10.1016/S2589-7500(22)00170-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140296386&doi=10.1016%2fS2589-7500%2822%2900170-4&partnerID=40&md5=fa00010994ce1fab84518a869a4d17c3","Background: The cardiovascular benefits of intensive systolic blood pressure control vary across clinical populations tested in large randomised clinical trials. We aimed to evaluate the application of machine learning to clinical trials of patients without and with type 2 diabetes to define the personalised cardiovascular benefit of intensive control of systolic blood pressure. Methods: In SPRINT, a trial of intensive (systolic blood pressure <120 mm Hg) versus standard (systolic blood pressure <140 mm Hg) systolic blood pressure control in patients without type 2 diabetes, we defined a phenotypic representation of the study population using 59 baseline variables. We extracted personalised treatment effect estimates for the primary outcome, time-to-first major adverse cardiovascular event (MACE; cardiovascular death, myocardial infarction or acute coronary syndrome, stroke, and acute decompensated heart failure), through iterative Cox regression analyses providing average hazard ratio (HR) estimates weighted for the phenotypic distance of each participant from the index patient of each iteration. Next, we trained an extreme gradient boosting algorithm (known as XGBoost) to predict the personalised effect of intensive systolic blood pressure control using features most consistently linked to increased personalised benefit, before evaluating its performance in the ACCORD BP trial of patients with type 2 diabetes randomly assigned to receive intensive versus standard systolic blood pressure control. We stratified patients based on their predicted treatment effect, and key demographic groups (age, sex, cardiovascular disease, and smoking). We assessed the presence of heterogeneity with an interaction test, and assessed the performance of the algorithm in a simulation analysis of SPRINT in the presence or absence of an artificially introduced heterogeneous treatment effect. Findings: From SPRINT, we included all 9361 study participants (mean age 67·9 years [SD 9·4], 3332 [35·6%] female) who underwent randomisation to either intensive (n=4678) or standard (n=4683) treatment. The median individualised HR for MACE was 0·63 (IQR 0·53–0·78). An eight-feature tool built for this analysis to predict personalised benefit in SPRINT was externally tested in ACCORD BP (4733 participants (mean age 62·7 years [SD 6·7], 2258 [47·7%] female), wherein it successfully identified individuals with differential benefit from intensive versus standard systolic blood pressure control (adjusted HR for MACE of 0·70 [95% CI 0·55–0·90] in individuals with above-median MACE benefit versus 1·05 [95% CI 0·84–1·32] for below-median predicted benefit; pinteraction=0·0184). Subgroup analysis based on age (<65 years: HR 0·89 [95% CI 0·71–1·12]; ≥65 years: 0·85 [0·67–1·09]), sex (male: 0·89 [0·72–1·10]; female: 0·85 [0·65–1·10]), established cardiovascular disease (no: 0·89 [0·70–1·14]; yes: 0·84 [0·67–1·06]), or active smoking (no: 0·85 [0·71–1·02]; yes: 1·01 [0·64–1·60]) did not identify groups with heterogeneity of treatment effect. In a simulation analysis of SPRINT, the proposed algorithm detected groups with heterogeneous treatment effects in the presence, but not absence, of simulated subgroup differences. Interpretation: By use of machine learning to define an individual's personalised benefit through phenotypic representations of clinical trials, we created a practical tool for individualising the selection of intensive versus standard systolic blood pressure control in patients without and with type 2 diabetes. Funding: National Heart, Lung, and Blood Institute of the US National Institutes of Health. © 2022 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY-NC-ND 4.0 license","Aged; Antihypertensive Agents; Blood Pressure; Cardiovascular Diseases; Diabetes Mellitus, Type 2; Female; Heart Failure; Humans; Hypertension; Machine Learning; Male; Middle Aged; Risk Factors; Treatment Outcome; Blood; Blood pressure; Cardiology; Disease control; Diseases; Forecasting; Iterative methods; Learning algorithms; Patient treatment; Regression analysis; acetylsalicylic acid; antihypertensive agent; antihypertensive agent; Blood pressure control; Cardiovascular disease; Clinical trial; Hazard ratio; Machine-learning; Performance; Randomized clinical trials; Systolic blood pressure; Treatment effects; Type-2 diabetes; acute coronary syndrome; acute heart failure; adult; age; aged; algorithm; Article; blood pressure monitoring; blood pressure regulation; cardiovascular mortality; cerebrovascular accident; clinical outcome; cohort analysis; controlled study; female; hazard ratio; heart infarction; human; hypertension; intensive care; longitudinal study; machine learning; major adverse cardiac event; major clinical study; male; middle aged; non insulin dependent diabetes mellitus; outcome assessment; personalized medicine; post hoc analysis; prediction; randomized controlled trial (topic); sensitivity analysis; sex; simulation; smoking; systolic blood pressure; therapy effect; very elderly; blood pressure; cardiovascular disease; heart failure; hypertension; machine learning; non insulin dependent diabetes mellitus; physiology; randomized controlled trial; risk factor; treatment outcome; Machine learning","Elsevier Ltd","Article","Final","Scopus","2-s2.0-85140296386"
"Cheung C.Y.; Ran A.R.; Wang S.; Chan V.T.T.; Sham K.; Hilal S.; Venketasubramanian N.; Cheng C.-Y.; Sabanayagam C.; Tham Y.C.; Schmetterer L.; McKay G.J.; Williams M.A.; Wong A.; Au L.W.C.; Lu Z.; Yam J.C.; Tham C.C.; Chen J.J.; Dumitrascu O.M.; Heng P.-A.; Kwok T.C.Y.; Mok V.C.T.; Milea D.; Chen C.L.-H.; Wong T.Y.","Cheung, Carol Y (35276903300); Ran, An Ran (57189442073); Wang, Shujun (57210892697); Chan, Victor T T (57197714769); Sham, Kaiser (57266664100); Hilal, Saima (55141467700); Venketasubramanian, Narayanaswamy (56804702100); Cheng, Ching-Yu (57221211146); Sabanayagam, Charumathi (22136294700); Tham, Yih Chung (57209647799); Schmetterer, Leopold (7103327518); McKay, Gareth J (57222190638); Williams, Michael A (12646998100); Wong, Adrian (8085259100); Au, Lisa W C (37074121200); Lu, Zhihui (57936364000); Yam, Jason C (6603711122); Tham, Clement C (7006081241); Chen, John J (56431950200); Dumitrascu, Oana M (31267508600); Heng, Pheng-Ann (7006677755); Kwok, Timothy C Y (7006475934); Mok, Vincent C T (6603736999); Milea, Dan (6701636955); Chen, Christopher Li-Hsian (57375362200); Wong, Tien Yin (7403147159)","35276903300; 57189442073; 57210892697; 57197714769; 57266664100; 55141467700; 56804702100; 57221211146; 22136294700; 57209647799; 7103327518; 57222190638; 12646998100; 8085259100; 37074121200; 57936364000; 6603711122; 7006081241; 56431950200; 31267508600; 7006677755; 7006475934; 6603736999; 6701636955; 57375362200; 7403147159","A deep learning model for detection of Alzheimer's disease based on retinal photographs: a retrospective, multicentre case-control study","2022","The Lancet Digital Health","11","10.1016/S2589-7500(22)00169-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140297356&doi=10.1016%2fS2589-7500%2822%2900169-8&partnerID=40&md5=438496d5553ceb926adfddcff5919f26","Background: There is no simple model to screen for Alzheimer's disease, partly because the diagnosis of Alzheimer's disease itself is complex—typically involving expensive and sometimes invasive tests not commonly available outside highly specialised clinical settings. We aimed to develop a deep learning algorithm that could use retinal photographs alone, which is the most common method of non-invasive imaging the retina to detect Alzheimer's disease-dementia. Methods: In this retrospective, multicentre case-control study, we trained, validated, and tested a deep learning algorithm to detect Alzheimer's disease-dementia from retinal photographs using retrospectively collected data from 11 studies that recruited patients with Alzheimer's disease-dementia and people without disease from different countries. Our main aim was to develop a bilateral model to detect Alzheimer's disease-dementia from retinal photographs alone. We designed and internally validated the bilateral deep learning model using retinal photographs from six studies. We used the EfficientNet-b2 network as the backbone of the model to extract features from the images. Integrated features from four retinal photographs (optic nerve head-centred and macula-centred fields from both eyes) for each individual were used to develop supervised deep learning models and equip the network with unsupervised domain adaptation technique, to address dataset discrepancy between the different studies. We tested the trained model using five other studies, three of which used PET as a biomarker of significant amyloid β burden (testing the deep learning model between amyloid β positive vs amyloid β negative). Findings: 12 949 retinal photographs from 648 patients with Alzheimer's disease and 3240 people without the disease were used to train, validate, and test the deep learning model. In the internal validation dataset, the deep learning model had 83·6% (SD 2·5) accuracy, 93·2% (SD 2·2) sensitivity, 82·0% (SD 3·1) specificity, and an area under the receiver operating characteristic curve (AUROC) of 0·93 (0·01) for detecting Alzheimer's disease-dementia. In the testing datasets, the bilateral deep learning model had accuracies ranging from 79·6% (SD 15·5) to 92·1% (11·4) and AUROCs ranging from 0·73 (SD 0·24) to 0·91 (0·10). In the datasets with data on PET, the model was able to differentiate between participants who were amyloid β positive and those who were amyloid β negative: accuracies ranged from 80·6 (SD 13·4%) to 89·3 (13·7%) and AUROC ranged from 0·68 (SD 0·24) to 0·86 (0·16). In subgroup analyses, the discriminative performance of the model was improved in patients with eye disease (accuracy 89·6% [SD 12·5%]) versus those without eye disease (71·7% [11·6%]) and patients with diabetes (81·9% [SD 20·3%]) versus those without the disease (72·4% [11·7%]). Interpretation: A retinal photograph-based deep learning algorithm can detect Alzheimer's disease with good accuracy, showing its potential for screening Alzheimer's disease in a community setting. Funding: BrightFocus Foundation. © 2022 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY-NC-ND 4.0 license","Alzheimer Disease; Amyloid beta-Peptides; Case-Control Studies; Deep Learning; Humans; Retrospective Studies; Deep learning; Diagnosis; Disease control; Eye protection; Glycoproteins; Learning systems; Neurodegenerative diseases; Ophthalmology; Photography; Statistical tests; amyloid beta protein; amyloid beta protein; Alzheimers disease; Bilateral model; Case-control study; Clinical settings; Eye disease; Learning models; Non-invasive imaging; Optic nerve head; Receiver operating characteristic curves; Simple modeling; adult; aged; Alzheimer disease; Article; case control study; cohort analysis; comparative study; controlled study; deep learning; diabetes mellitus; eye disease; eye photography; female; human; major clinical study; male; middle aged; optic nerve; positron emission tomography; retinal photography; retrospective study; sensitivity and specificity; very elderly; clinical trial; diagnostic imaging; multicenter study; Learning algorithms","Elsevier Ltd","Article","Final","Scopus","2-s2.0-85140297356"
"Barnes H.; Humphries S.M.; George P.M.; Assayag D.; Glaspole I.; Mackintosh J.A.; Corte T.J.; Glassberg M.; Johannson K.A.; Calandriello L.; Felder F.; Wells A.; Walsh S.","Barnes, Hayley (25959511400); Humphries, Stephen M (58023129400); George, Peter M (57206416929); Assayag, Deborah (49962927400); Glaspole, Ian (6602640368); Mackintosh, John A (57196804584); Corte, Tamera J (57220408326); Glassberg, Marilyn (6603697894); Johannson, Kerri A (55352894900); Calandriello, Lucio (23003400500); Felder, Federico (58022053200); Wells, Athol (57201532967); Walsh, Simon (57427002600)","25959511400; 58023129400; 57206416929; 49962927400; 6602640368; 57196804584; 57220408326; 6603697894; 55352894900; 23003400500; 58022053200; 57201532967; 57427002600","Machine learning in radiology: the new frontier in interstitial lung diseases","2023","The Lancet Digital Health","2","10.1016/S2589-7500(22)00230-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144312092&doi=10.1016%2fS2589-7500%2822%2900230-8&partnerID=40&md5=17bc06f1755f0849bfc93db6441740db","Challenges for the effective management of interstitial lung diseases (ILDs) include difficulties with the early detection of disease, accurate prognostication with baseline data, and accurate and precise response to therapy. The purpose of this Review is to describe the clinical and research gaps in the diagnosis and prognosis of ILD, and how machine learning can be applied to image biomarker research to close these gaps. Machine-learning algorithms can identify ILD in at-risk populations, predict the extent of lung fibrosis, correlate radiological abnormalities with lung function decline, and be used as endpoints in treatment trials, exemplifying how this technology can be used in care for people with ILD. Advances in image processing and analysis provide further opportunities to use machine learning that incorporates deep-learning-based image analysis and radiomics. Collaboration and consistency are required to develop optimal algorithms, and candidate radiological biomarkers should be validated against appropriate predictors of disease outcomes. © 2023 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY-NC-ND 4.0 license","Biomarkers; Humans; Lung Diseases, Interstitial; Prognosis; Radiology; Risk Factors; Biological organs; Biomarkers; Clinical research; Deep learning; Diagnosis; Image analysis; Learning algorithms; Learning systems; Pathology; Population statistics; Pulmonary diseases; biological marker; At-risk population; Baseline data; Diagnosis and prognosis; Effective management; Interstitial lung disease; Lung fibrosis; Lung function; Machine learning algorithms; Machine-learning; Research gaps; Bayesian classifier; classifier; clinical research; computer assisted tomography; convolutional neural network; deep learning; diagnostic imaging; digital technology; feature extraction; high risk population; human; image analysis; image processing; image segmentation; interstitial lung disease; lung fibrosis; machine learning; prediction; prognosis; quantitative computed tomography; quantitative diagnosis; radiodiagnosis; radiomics; Review; supervised machine learning; thorax radiography; unsupervised machine learning; interstitial lung disease; radiology; risk factor; Disease control","Elsevier Ltd","Review","Final","Scopus","2-s2.0-85144312092"
"Ferrer M.; Lizano-Barrantes C.","Ferrer, Montse (7202504146); Lizano-Barrantes, Catalina (57222513242)","7202504146; 57222513242","Could an electronic tool to assess asthma control with a 1-day timeframe be useful for clinical management?","2023","The Lancet Digital Health","0","10.1016/S2589-7500(23)00042-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150340748&doi=10.1016%2fS2589-7500%2823%2900042-0&partnerID=40&md5=c732cd95e714d9782fbe4322e7da4553","[No abstract available]","Asthma; Electronics; Humans; biological marker; asthma; construct validity; content validity; disease classification; disease control; disease exacerbation; Global Initiative for Asthma; human; Note; patient-reported outcome; test retest reliability; time; timeframe; visual analog scale; asthma; electronics","Elsevier Ltd","Note","Final","Scopus","2-s2.0-85150340748"
