"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Index Keywords","Publisher","Document Type","Publication Stage","Source","EID"
"Salim J.A.; Saraiva A.M.; Zermoglio P.F.; Agostini K.; Wolowski M.; Drucker D.P.; Soares F.M.; Bergamo P.J.; Varassin I.G.; Freitas L.; Maués M.M.; Rech A.R.; Veiga A.K.; Acosta A.L.; Araujo A.C.; Nogueira A.; Blochtein B.; Freitas B.M.; Albertini B.C.; Maia-Silva C.; Nunes C.E.P.; Pires C.S.S.; Dos Santos C.F.; Queiroz E.P.; Cartolano E.A.; de Oliveira F.F.; Amorim F.W.; Fontúrbel F.E.; da Silva G.V.; Consolaro H.; Alves-Dos-Santos I.; Machado I.C.; Silva J.S.; Aleixo K.P.; Carvalheiro L.G.; Rocca M.A.; Pinheiro M.; Hrncir M.; Streher N.S.; Ferreira P.A.; de Albuquerque P.M.C.; Maruyama P.K.; Borges R.C.; Giannini T.C.; Brito V.L.G.","Salim, José A (57722637300); Saraiva, Antonio M. (7004341743); Zermoglio, Paula F. (56741455800); Agostini, Kayna (8069408200); Wolowski, Marina (57219425127); Drucker, Debora P. (57722955600); Soares, Filipi M. (57722637400); Bergamo, Pedro J. (56819980000); Varassin, Isabela G. (22952204300); Freitas, Leandro (37009562400); Maués, Márcia M (26025717400); Rech, Andre R. (36633005500); Veiga, Allan K. (56315474000); Acosta, Andre L. (34867840100); Araujo, Andréa C (7202091963); Nogueira, Anselmo (42662135600); Blochtein, Betina (22133289800); Freitas, Breno M. (6603836704); Albertini, Bruno C. (23007485000); Maia-Silva, Camila (54405652800); Nunes, Carlos E P (55630517700); Pires, Carmen S S (7006057643); Dos Santos, Charles F. (36183014800); Queiroz, Elisa P. (57190581333); Cartolano, Etienne A. (56315277900); de Oliveira, Favízia F (7005684612); Amorim, Felipe W. (15922100500); Fontúrbel, Francisco E. (26433343600); da Silva, Gleycon V. (57722637500); Consolaro, Hélder (26025637700); Alves-Dos-Santos, Isabel (6507694688); Machado, Isabel C. (7006617057); Silva, Juliana S. (56047353000); Aleixo, Kátia P (55503873000); Carvalheiro, Luísa G (24337646200); Rocca, Márcia A (14322216700); Pinheiro, Mardiore (36870756500); Hrncir, Michael (6602704439); Streher, Nathália S (57202745618); Ferreira, Patricia A. (37007458900); de Albuquerque, Patricia M C (21740839500); Maruyama, Pietro K. (54955193100); Borges, Rafael C. (57194129469); Giannini, Tereza C. (7003671809); Brito, Vinícius L G (57722796700)","57722637300; 7004341743; 56741455800; 8069408200; 57219425127; 57722955600; 57722637400; 56819980000; 22952204300; 37009562400; 26025717400; 36633005500; 56315474000; 34867840100; 7202091963; 42662135600; 22133289800; 6603836704; 23007485000; 54405652800; 55630517700; 7006057643; 36183014800; 57190581333; 56315277900; 7005684612; 15922100500; 26433343600; 57722637500; 26025637700; 6507694688; 7006617057; 56047353000; 55503873000; 24337646200; 14322216700; 36870756500; 6602704439; 57202745618; 37007458900; 21740839500; 54955193100; 57194129469; 7003671809; 57722796700","Data standardization of plant-pollinator interactions","2022","GigaScience","4","10.1093/gigascience/giac043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131214301&doi=10.1093%2fgigascience%2fgiac043&partnerID=40&md5=ef539a317b0a603773bd52023779881f","BACKGROUND: Animal pollination is an important ecosystem function and service, ensuring both the integrity of natural systems and human well-being. Although many knowledge shortfalls remain, some high-quality data sets on biological interactions are now available. The development and adoption of standards for biodiversity data and metadata has promoted great advances in biological data sharing and aggregation, supporting large-scale studies and science-based public policies. However, these standards are currently not suitable to fully support interaction data sharing. RESULTS: Here we present a vocabulary of terms and a data model for sharing plant-pollinator interactions data based on the Darwin Core standard. The vocabulary introduces 48 new terms targeting several aspects of plant-pollinator interactions and can be used to capture information from different approaches and scales. Additionally, we provide solutions for data serialization using RDF, XML, and DwC-Archives and recommendations of existing controlled vocabularies for some of the terms. Our contribution supports open access to standardized data on plant-pollinator interactions. CONCLUSIONS: The adoption of the vocabulary would facilitate data sharing to support studies ranging from the spatial and temporal distribution of interactions to the taxonomic, phenological, functional, and phylogenetic aspects of plant-pollinator interactions. We expect to fill data and knowledge gaps, thus further enabling scientific research on the ecology and evolution of plant-pollinator communities, biodiversity conservation, ecosystem services, and the development of public policies. The proposed data model is flexible and can be adapted for sharing other types of interactions data by developing discipline-specific vocabularies of terms. © The Author(s) 2022. Published by Oxford University Press GigaScience.","Animals; Biodiversity; Ecosystem; Phylogeny; Pollination; Reference Standards; animal; biodiversity; ecosystem; phylogeny; pollination; standard","NLM (Medline)","Article","Final","Scopus","2-s2.0-85131214301"
"König P.; Beier S.; Mascher M.; Stein N.; Lange M.; Scholz U.","König, Patrick (57204672703); Beier, Sebastian (56123523300); Mascher, Martin (51864210300); Stein, Nils (57212481620); Lange, Matthias (36028279400); Scholz, Uwe (56124842400)","57204672703; 56123523300; 51864210300; 57212481620; 36028279400; 56124842400","Erratum: DivBrowse—interactive visualization and exploratory data analysis of variant call matrices (GigaScience (2023) 12 (giad025) DOI: 10.1093/gigascience/giad025)","2023","GigaScience","0","10.1093/gigascience/giad037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85161010050&doi=10.1093%2fgigascience%2fgiad037&partnerID=40&md5=7d8da4792126b5273e82d063ab3bc657","This is a correction to: Patrick König, Sebastian Beier, Martin Mascher, Nils Stein, Matthias Lange, Uwe Scholz, DivBrowse—interactive visualization and exploratory data analysis of variant call matrices, GigaScience, Volume 12,2023, giad025, https://doi.org/10.1093/gigascience/giad025 In the originally published version of this manuscript, the hyperlink “Project Home page [51]” in section Availability of Source Code and Requirements led to an incorrect webpage. It should lead to https://divbrowse.ipk-gatersleben.de This error has now been corrected. © The Author(s) 2023. Published by Oxford University Press GigaScience.","erratum","Oxford University Press","Erratum","Final","Scopus","2-s2.0-85161010050"
"Charbonneau A.L.; Brady A.; Czajkowski K.; Aluvathingal J.; Canchi S.; Carter R.; Chard K.; Clarke D.J.B.; Crabtree J.; Creasy H.H.; D'Arcy M.; Felix V.; Giglio M.; Gingrich A.; Harris R.M.; Hodges T.K.; Ifeonu O.; Jeon M.; Kropiwnicki E.; Lim M.C.W.; Liming R.L.; Lumian J.; Mahurkar A.A.; Mandal M.; Munro J.B.; Nadendla S.; Richter R.; Romano C.; Rocca-Serra P.; Schor M.; Schuler R.E.; Tangmunarunkit H.; Waldrop A.; Williams C.; Word K.; Sansone S.-A.; Ma'ayan A.; Wagner R.; Foster I.; Kesselman C.; Brown C.T.; White O.","Charbonneau, Amanda L (35725225200); Brady, Arthur (13609882900); Czajkowski, Karl (7004355236); Aluvathingal, Jain (57218873439); Canchi, Saranya (57712169400); Carter, Robert (57221343034); Chard, Kyle (9132950200); Clarke, Daniel J. B (57203183076); Crabtree, Jonathan (56808150200); Creasy, Heather H (36093772900); D'Arcy, Mike (57201575895); Felix, Victor (35344870600); Giglio, Michelle (8930600800); Gingrich, Alicia (57713593100); Harris, Rayna M (55747849400); Hodges, Theresa K (57712374500); Ifeonu, Olukemi (57191663119); Jeon, Minji (55561994100); Kropiwnicki, Eryk (57209990424); Lim, Marisa C. W (57712783100); Liming, R. Lee (57972847600); Lumian, Jessica (57222626957); Mahurkar, Anup A (6507635237); Mandal, Meisha (57616660600); Munro, James B (36490973100); Nadendla, Suvarna (35345404300); Richter, Rudyard (57712417500); Romano, Cia (57712766100); Rocca-Serra, Philippe (6506036751); Schor, Michael (57205368667); Schuler, Robert E (14834460100); Tangmunarunkit, Hongsuda (6505961462); Waldrop, Alex (57195983329); Williams, Cris (57212153647); Word, Karen (57713190500); Sansone, Susanna-Assunta (6603584690); Ma'ayan, Avi (57203867894); Wagner, Rick (57206885580); Foster, Ian (35572232000); Kesselman, Carl (7003652822); Brown, C. Titus (57226488964); White, Owen (35611605400)","35725225200; 13609882900; 7004355236; 57218873439; 57712169400; 57221343034; 9132950200; 57203183076; 56808150200; 36093772900; 57201575895; 35344870600; 8930600800; 57713593100; 55747849400; 57712374500; 57191663119; 55561994100; 57209990424; 57712783100; 57972847600; 57222626957; 6507635237; 57616660600; 36490973100; 35345404300; 57712417500; 57712766100; 6506036751; 57205368667; 14834460100; 6505961462; 57195983329; 57212153647; 57713190500; 6603584690; 57203867894; 57206885580; 35572232000; 7003652822; 57226488964; 35611605400","Making Common Fund data more findable: catalyzing a data ecosystem","2022","GigaScience","1","10.1093/gigascience/giac105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142339661&doi=10.1093%2fgigascience%2fgiac105&partnerID=40&md5=c71ca1ed4f975a75668d0da48d50d00f","The Common Fund Data Ecosystem (CFDE) has created a flexible system of data federation that enables researchers to discover datasets from across the US National Institutes of Health Common Fund without requiring that data owners move, reformat, or rehost those data. This system is centered on a catalog that integrates detailed descriptions of biomedical datasets from individual Common Fund Programs' Data Coordination Centers (DCCs) into a uniform metadata model that can then be indexed and searched from a centralized portal. This Crosscut Metadata Model (C2M2) supports the wide variety of data types and metadata terms used by individual DCCs and can readily describe nearly all forms of biomedical research data. We detail its use to ingest and index data from 11 DCCs.  © 2022 The Author(s). Published by Oxford University Press GigaScience.","Ecosystem; Financial Management; Metadata; article; catalysis; ecosystem; medical research; metadata; national health organization; financial management","Oxford University Press","Article","Final","Scopus","2-s2.0-85142339661"
"Cornet L.; Durieu B.; Baert F.; D’hooge E.; Colignon D.; Meunier L.; Lupo V.; Cleenwerck I.; Daniel H.-M.; Rigouts L.; Sirjacobs D.; Declerck S.; Vandamme P.; Wilmotte A.; Baurain D.; Becker P.","Cornet, Luc (55330866100); Durieu, Benoit (57193541198); Baert, Frederik (57213547590); D’hooge, Elizabet (56287751700); Colignon, David (6507099676); Meunier, Loic (57203160473); Lupo, Valérian (57224370992); Cleenwerck, Ilse (6603193765); Daniel, Heide-Marie (7102295817); Rigouts, Leen (56229143700); Sirjacobs, Damien (6507534218); Declerck, Stéphane (7004553628); Vandamme, Peter (56211244100); Wilmotte, Annick (6602749321); Baurain, Denis (6506842038); Becker, Pierre (57472795600)","55330866100; 57193541198; 57213547590; 56287751700; 6507099676; 57203160473; 57224370992; 6603193765; 7102295817; 56229143700; 6507534218; 7004553628; 56211244100; 6602749321; 6506842038; 57472795600","The GEN-ERA toolbox: unified and reproducible workflows for research in microbial genomics","2023","GigaScience","0","10.1093/gigascience/giad022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160833219&doi=10.1093%2fgigascience%2fgiad022&partnerID=40&md5=784314a96b1fa3a8cb9288cc25650ea5","Background: Microbial culture collections play a key role in taxonomy by studying the diversity of their strains and providing well-characterized biological material to the scientific community for fundamental and applied research. These microbial resource centers thus need to implement new standards in species delineation, including whole-genome sequencing and phylogenomics. In this context, the genomic needs of the Belgian Coordinated Collections of Microorganisms were studied, resulting in the GEN-ERA toolbox. The latter is a unified cluster of bioinformatic workflows dedicated to both bacteria and small eukaryotes (e.g., yeasts). Findings: This public toolbox allows researchers without a specific training in bioinformatics to perform robust phylogenomic analyses. Hence, it facilitates all steps from genome downloading and quality assessment, including genomic contamination estimation, to tree reconstruction. It also offers workflows for average nucleotide identity comparisons and metabolic modeling. Technical details: Nextflow workflows are launched by a single command and are available on the GEN-ERA GitHub repository (https://github.com/Lcornet/GENERA). All the workflows are based on Singularity containers to increase reproducibility. Testing: The toolbox was developed for a diversity of microorganisms, including bacteria and fungi. It was further tested on an empirical dataset of 18 (meta)genomes of early branching Cyanobacteria, providing the most up-to-date phylogenomic analysis of the Gloeobacterales order, the first group to diverge in the evolutionary tree of Cyanobacteria. Conclusion: The GEN-ERA toolbox can be used to infer completely reproducible comparative genomic and metabolic analyses on prokaryotes and small eukaryotes. Although designed for routine bioinformatics of culture collections, it can also be used by all researchers interested in microbial taxonomy, as exemplified by our case study on Gloeobacterales. © The Author(s) 2023. Published by Oxford University Press GigaScience.","nucleotide; applied research; Article; bioinformatics; comparative genomics; cyanobacterium; fungus; genomics; Gloeobacterales; metagenome; microbial genetics; microbial metabolism; nonhuman; phylogenetic tree; phylogenomics; quality control; reproducibility; scientist; training; workflow; yeast","Oxford University Press","Article","Final","Scopus","2-s2.0-85160833219"
"Chen F.; Ma B.; Lin Y.; Luo X.; Xu T.; Zhang Y.; Chen F.; Li Y.; Zhang Y.; Luo B.; Zhang Q.; Xie X.","Chen, Fumei (57872162900); Ma, Buguo (55631690000); Lin, Yongda (57872027100); Luo, Xin (57637944000); Xu, Tao (57872231900); Zhang, Yuan (57872232000); Chen, Fang (57872097200); Li, Yanfei (57872097300); Zhang, Yaoyao (57871888500); Luo, Bin (57638035500); Zhang, Qingmei (53982209200); Xie, Xiaoxun (57732003400)","57872162900; 55631690000; 57872027100; 57637944000; 57872231900; 57872232000; 57872097200; 57872097300; 57871888500; 57638035500; 53982209200; 57732003400","Comparative maternal protein profiling of mouse biparental and uniparental embryos","2022","GigaScience","1","10.1093/gigascience/giac084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137155472&doi=10.1093%2fgigascience%2fgiac084&partnerID=40&md5=42362a591462dd3686a2b0b41f5a9a85","Background: Maternal proteins have important roles during early embryonic development. However, our understanding of maternal proteins is still very limited. The integrated analysis of mouse uniparental (parthenogenetic) and biparental (fertilized) embryos at the protein level creates a protein expression landscape that can be used to explore preimplantation mouse development. Results: Using label-free quantitative mass spectrometry (MS) analysis, we report on the maternal proteome of mouse parthenogenetic embryos at pronucleus, 2-cell, 4-cell, 8-cell, morula, and blastocyst stages and highlight dynamic changes in protein expression. In addition, comparison of proteomic profiles of parthenogenotes and fertilized embryos highlights the different fates of maternal proteins. Enrichment analysis uncovered a set of maternal proteins that are strongly correlated with the subcortical maternal complex, and we report that in parthenogenotes, some of these maternal proteins escape the fate of protein degradation. Moreover, we identified a new maternal factor-Fbxw24, and highlight its importance in early embryonic development. We report that Fbxw24 interacts with Ddb1-Cul4b and may regulate maternal protein degradation in mouse. Conclusions: Our study provides an invaluable resource for mechanistic analysis of maternal proteins and highlights the role of the novel maternal factor Fbw24 in regulating maternal protein degradation during preimplantation embryo development.  © 2022 The Author(s). Published by Oxford University Press GigaScience.","cullin; cullin 4B; DNA binding protein; DNA damage binding protein 1; F box protein; F box WD40 repeat containing protein 24; maternal protein; protein; proteome; unclassified drug; Article; blastocyst; comparative study; controlled study; embryo; embryo development; female; fertilization; infant; mass spectrometry; morula; mouse; nonhuman; parthenogenesis; pronucleus; protein degradation; protein expression; protein fingerprinting; proteomics; quantitative analysis","Oxford University Press","Article","Final","Scopus","2-s2.0-85137155472"
"Germani E.; Fromont E.; Maumet C.","Germani, Elodie (57223141082); Fromont, Elisa (23034164300); Maumet, Camille (35746407900)","57223141082; 23034164300; 35746407900","On the benefits of self-taught learning for brain decoding","2023","GigaScience","0","10.1093/gigascience/giad029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158011468&doi=10.1093%2fgigascience%2fgiad029&partnerID=40&md5=731f9d25df65ddb42d3da530a748bf65","Context: We study the benefits of using a large public neuroimaging database composed of functional magnetic resonance imaging (fMRI) statistic maps, in a self-taught learning framework, for improving brain decoding on new tasks. First, we leverage the NeuroVault database to train, on a selection of relevant statistic maps, a convolutional autoencoder to reconstruct these maps. Then, we use this trained encoder to initialize a supervised convolutional neural network to classify tasks or cognitive processes of unseen statistic maps from large collections of the NeuroVault database. Results: We show that such a self-taught learning process always improves the performance of the classifiers, but the magnitude of the benefits strongly depends on the number of samples available both for pretraining and fine-tuning the models and on the complexity of the targeted downstream task. Conclusion: The pretrained model improves the classification performance and displays more generalizable features, less sensitive to individual differences. © The Author(s) 2023. Published by Oxford University Press GigaScience.","Brain; Image Processing, Computer-Assisted; Magnetic Resonance Imaging; Neural Networks, Computer; Neuroimaging; article; autoencoder; brain; classifier; cognition; convolutional neural network; deep learning; functional magnetic resonance imaging; human; human experiment; learning; neuroimaging; artificial neural network; diagnostic imaging; image processing; nuclear magnetic resonance imaging; procedures","Oxford University Press","Article","Final","Scopus","2-s2.0-85158011468"
"He X.; Wang Y.; Lian J.; Zheng J.; Zhou J.; Li J.; Jiao Z.; Niu Y.; Wang W.; Zhang J.; Wang B.; Zhuge Q.","He, Xudong (48461374400); Wang, Yu (55206521800); Lian, Jinmin (57408700300); Zheng, Jiwei (56459250100); Zhou, Jie (56459193700); Li, Jiang (57221573958); Jiao, Zhongyi (57205608093); Niu, Yongchao (56388158400); Wang, Weiwei (57966228900); Zhang, Jun (57966258900); Wang, Baosong (56459190100); Zhuge, Qiang (6701770378)","48461374400; 55206521800; 57408700300; 56459250100; 56459193700; 57221573958; 57205608093; 56388158400; 57966228900; 57966258900; 56459190100; 6701770378","The whole-genome assembly of an endangered Salicaceae species: Chosenia arbutifolia (Pall.) A. Skv","2022","GigaScience","0","10.1093/gigascience/giac109","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141934768&doi=10.1093%2fgigascience%2fgiac109&partnerID=40&md5=6ddf4fd8154d031c0aac6d82f9d599be","Background: As a fast-growing tree species, Chosenia arbutifolia has a unique but controversial taxonomic status in the family Salicaceae. Despite its importance as an industrial material, in ecological protection, and in landscaping, C. arbutifolia is seriously endangered in Northeast China because of artificial destruction and its low reproductive capability. Results: To clarify its phylogenetic relationships with other Salicaceae species, we assembled a high-quality chromosome-level genome of C. arbutifolia using PacBio High-Fidelity reads and Hi-C sequencing data, with a total size of 338.93 Mb and contig N50 of 1.68 Mb. Repetitive sequences, which accounted for 42.34% of the assembly length, were identified. In total, 33,229 protein-coding genes and 11,474 small noncoding RNAs were predicted. Phylogenetic analysis suggested that C. arbutifolia and poplars diverged approximately 15.3 million years ago, and a large interchromosomal recombination between C. arbutifolia and other Salicaceae species was discovered. Conclusions: Our study provides insights into the genome architecture and systematic evolution of C. arbutifolia, as well as comprehensive information for germplasm protection and future functional genomic studies.  © 2022 The Author(s). Published by Oxford University Press GigaScience.","Animals; Endangered Species; Genome; Genomics; Phylogeny; Salicaceae; ribosome RNA; RNA polymerase; scaffold protein; small nuclear RNA; small untranslated RNA; transfer RNA; Arabidopsis thaliana; Article; artificial destruction; China; chosenia arbutifolia; destruction; DNA extraction; ecology; endangered species; gene duplication; gene sequence; genetic recombination; germplasm; long terminal repeat; molecular genetics; nonhuman; phylogeny; populus alba; populus euphratica; Populus tremula; Populus tremuloides; Populus trichocarpa; retroposon; Ricinus communis; RNA extraction; Salicaceae; salix brachista; salix suchowensis; Salix viminalis; whole genome sequencing; animal; genome; genomics","Oxford University Press","Article","Final","Scopus","2-s2.0-85141934768"
"","","","Erratum: Correction to: High-quality genome assemblies from key Hawaiian coral species (GigaScience (2022) 11  PII: giad027)","2022","GigaScience","0","10.1093/gigascience/giad027","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152111632&doi=10.1093%2fgigascience%2fgiad027&partnerID=40&md5=e43151d8e94b15a0d0b5d7875a46935b","[No abstract available]","erratum","NLM (Medline)","Erratum","Final","Scopus","2-s2.0-85152111632"
"Suetake H.; Fukusato T.; Igarashi T.; Ohta T.","Suetake, Hirotaka (57219336522); Fukusato, Tsukasa (55349173000); Igarashi, Takeo (7403250321); Ohta, Tazro (55893540400)","57219336522; 55349173000; 7403250321; 55893540400","Workflow sharing with automated metadata validation and test execution to improve the reusability of published workflows","2023","GigaScience","1","10.1093/gigascience/giad006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148548893&doi=10.1093%2fgigascience%2fgiad006&partnerID=40&md5=9c3a790ecab27d97ff1bf1b03b08240b","Background: Many open-source workflow systems have made bioinformatics data analysis procedures portable. Sharing these workflows provides researchers easy access to high-quality analysis methods without the requirement of computational expertise. However, published workflows are not always guaranteed to be reliably reusable. Therefore, a system is needed to lower the cost of sharing workflows in a reusable form. Results: We introduce Yevis, a system to build a workflow registry that automatically validates and tests workflows to be published. The validation and test are based on the requirements we defined for a workflow being reusable with confidence. Yevis runs on GitHub and Zenodo and allows workflow hosting without the need of dedicated computing resources. A Yevis registry accepts workflow registration via a GitHub pull request, followed by an automatic validation and test process for the submitted workflow. As a proof of concept, we built a registry using Yevis to host workflows from a community to demonstrate how a workflow can be shared while fulfilling the defined requirements. Conclusions: Yevis helps in the building of a workflow registry to share reusable workflows without requiring extensive human resources. By following Yevis’s workflow-sharing procedure, one can operate a registry while satisfying the reusable workflow criteria. This system is particularly useful to individuals or communities that want to share workflows but lacks the specific technical expertise to build and maintain a workflow registry from scratch. © The Author(s) 2023. Published by Oxford University Press GigaScience.","Computational Biology; Humans; Metadata; Software; Workflow; adult; article; cost; human; language; metadata; proof of concept; reproducibility; workflow; biology; procedures; software; workflow","Oxford University Press","Article","Final","Scopus","2-s2.0-85148548893"
"Mu X.; Liu Y.; Liu C.; Zhao C.; Li R.; You X.; Yang Y.; Wang X.; Hu Y.; Shi Q.; Bian C.","Mu, Xidong (36968394100); Liu, Yi (56507550700); Liu, Chao (57888142500); Zhao, Chenxi (57205158283); Li, Ruihan (57221824085); You, Xinxin (55939597300); Yang, Yexin (36968167300); Wang, Xuejie (47861547900); Hu, Yinchang (15750270000); Shi, Qiong (55940753500); Bian, Chao (57205434118)","36968394100; 56507550700; 57888142500; 57205158283; 57221824085; 55939597300; 36968167300; 47861547900; 15750270000; 55940753500; 57205434118","Identification of candidate sex-specific genomic regions in male and female Asian arowana genomes","2022","GigaScience","0","10.1093/gigascience/giac085","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137932566&doi=10.1093%2fgigascience%2fgiac085&partnerID=40&md5=c1d02410864fbf3b1d3f91c899c32bd6","Background: Asian arowana, Scleropages formosus, is one of the most expensive aquarium fish species worldwide. Its sex, however, cannot be distinguished clearly at any development stage, which impedes captive breeding and species protection for this endangered aquarium fish. Results: To discover molecular clues to the sex of Asian arowana, we sequenced 26.5 Gb of PacBio HiFi reads and 179.2 Gb of Hi-C reads for 1 male fish and also sequenced 106.5 Gb of Illumina reads, 36.0 Gb of PacBio Sequel reads, and 80.7 Gb of Hi-C reads for 1 female individual. The final male and female genome assemblies were approximately 756.8 Mb and 781.5 Mb in length and contained 25,262 and 25,328 protein-coding genes, respectively. We also resequenced the genomes of 15 male and 15 female individuals with approximately 722.1 Gb of Illumina reads. A genome-wide association study identified several potentially divergent regions between male and female individuals. In these regions, cd48 and cfap52 could be candidate genes for sex determination of Asian arowana. We also found some structural variations in few chromosomes between male and female individuals. Conclusion: We provided an improved reference genome assembly of female arowana and generated the first sequenced genome of 1 male individual. These valuable genetic resources and resequencing data may improve global aquarium fish research.  © 2022 The Author(s). Published by Oxford University Press GigaScience.","Animals; Chromosomes; Female; Fishes; Genome; Genome-Wide Association Study; Genomics; Male; animal tissue; arowana; Article; Asia; chromosome; female; fish; genome; genomics; male; nonhuman; prediction; sequence analysis; sex determination; sex difference; single nucleotide polymorphism; animal; fish; genetics; genome-wide association study; genomics","Oxford University Press","Article","Final","Scopus","2-s2.0-85137932566"
