"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Index Keywords","Publisher","Document Type","Publication Stage","Source","EID"
"Sabet C.; Hammond A.; Ravid N.; Tong M.S.; Stanford F.C.","Sabet, Cameron (57223244316); Hammond, Alessandro (58094347200); Ravid, Nim (58297826900); Tong, Michelle Sun (57209216261); Stanford, Fatima Cody (23669316600)","57223244316; 58094347200; 58297826900; 57209216261; 23669316600","Harnessing big data for health equity through a comprehensive public database and data collection framework","2023","npj Digital Medicine","0","10.1038/s41746-023-00844-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160798401&doi=10.1038%2fs41746-023-00844-5&partnerID=40&md5=10f4f845e38c28c58ce2fdde87d82b51","The United States Department of Health and Human Services (HHS) pledged $90 million to help reduce health disparities with data-driven solutions. The funds are being distributed to 1400 community health centers, serving over 30 million Americans. Given these developments, our piece examines the reasons behind the delayed adoption of big data for healthcare equity, recent efforts embracing big data tools, and methods to maximize potential without overburdening physicians. We additionally propose a public database for anonymized patient data, introducing diverse metrics and equitable data collection strategies, providing valuable insights for policymakers and health systems to better serve communities. © 2023, The Author(s).","Data acquisition; Hospital data processing; Community health centres; Data collection; Data driven; Data tools; Department of healths; Health and human services; Health disparities; Public data; Public database; State departments; adoption; adult; American; article; big data; health center; health disparity; health equity; human; patient coding; physician; United States; Big data","Nature Research","Article","Final","Scopus","2-s2.0-85160798401"
"Schröder C.; Förster R.; Zwahlen D.R.; Windisch P.","Schröder, Christina (57205888583); Förster, Robert (57217840862); Zwahlen, Daniel R. (22939752200); Windisch, Paul (57203727878)","57205888583; 57217840862; 22939752200; 57203727878","The Apple Watch spO2 sensor and outliers in healthy users","2023","npj Digital Medicine","0","10.1038/s41746-023-00814-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152767367&doi=10.1038%2fs41746-023-00814-x&partnerID=40&md5=1162115ce22c653b23f4c14c1eef119f","It is unclear how frequently the Apple Watch produces spO2 measurements outside of the normal range in healthy individuals at rest. We conducted a head-to-head comparison in 38 healthy individuals between two watches and two medical-grade pulse oximeters. Fourteen percent of watch measurements yielded spO2 values below 95%, with no values below 92%. Results suggest that outliers measured by the watch should not be a cause for concern in otherwise healthy individuals. © 2023, The Author(s).","Fruits; Noninvasive medical procedures; Oximeters; Statistics; At rests; Healthy individuals; Medical grades; Pulse oximeters; adult; Article; clinical assessment; controlled study; human; normal human; outlier detection; pulse oximetry; systematic review (topic); Watches","Nature Research","Article","Final","Scopus","2-s2.0-85152767367"
"Straczkiewicz M.; Huang E.J.; Onnela J.-P.","Straczkiewicz, Marcin (55920073100); Huang, Emily J. (57191745746); Onnela, Jukka-Pekka (6602641822)","55920073100; 57191745746; 6602641822","A “one-size-fits-most” walking recognition method for smartphones, smartwatches, and wearable accelerometers","2023","npj Digital Medicine","0","10.1038/s41746-022-00745-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148855815&doi=10.1038%2fs41746-022-00745-z&partnerID=40&md5=2346ce82c3386364eb1c14f7613c74ac","The ubiquity of personal digital devices offers unprecedented opportunities to study human behavior. Current state-of-the-art methods quantify physical activity using “activity counts,” a measure which overlooks specific types of physical activities. We propose a walking recognition method for sub-second tri-axial accelerometer data, in which activity classification is based on the inherent features of walking: intensity, periodicity, and duration. We validate our method against 20 publicly available, annotated datasets on walking activity data collected at various body locations (thigh, waist, chest, arm, wrist). We demonstrate that our method can estimate walking periods with high sensitivity and specificity: average sensitivity ranged between 0.92 and 0.97 across various body locations, and average specificity for common daily activities was typically above 0.95. We also assess the method’s algorithmic fairness to demographic and anthropometric variables and measurement contexts (body location, environment). Finally, we release our method as open-source software in Python and MATLAB. © 2023, The Author(s).","Accelerometers; Behavioral research; Digital devices; MATLAB; Open source software; Open systems; Python; Walking aids; Wearable sensors; 'current; Accelerometer data; Activity classifications; Human behaviors; Personal digital devices; Physical activity; Recognition methods; Smart phones; State-of-the-art methods; Triaxial accelerometer; adolescent; adult; aged; anthropometry; Article; continuous wavelet transform; controlled study; demographics; female; human; human experiment; linear regression analysis; male; normal human; oscillation; periodicity; physical activity; receiver operating characteristic; stair climbing; walking speed; young adult; Location","Nature Research","Article","Final","Scopus","2-s2.0-85148855815"
"Huang S.-C.; Pareek A.; Jensen M.; Lungren M.P.; Yeung S.; Chaudhari A.S.","Huang, Shih-Cheng (57218243820); Pareek, Anuj (57200256900); Jensen, Malte (58115212400); Lungren, Matthew P. (36729660500); Yeung, Serena (50562577000); Chaudhari, Akshay S. (57189961973)","57218243820; 57200256900; 58115212400; 36729660500; 50562577000; 57189961973","Self-supervised learning for medical image classification: a systematic review and implementation guidelines","2023","npj Digital Medicine","0","10.1038/s41746-023-00811-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156170930&doi=10.1038%2fs41746-023-00811-0&partnerID=40&md5=73fa943e19256e096bfb0eb69c1e0447","Advancements in deep learning and computer vision provide promising solutions for medical image analysis, potentially improving healthcare and patient outcomes. However, the prevailing paradigm of training deep learning models requires large quantities of labeled training data, which is both time-consuming and cost-prohibitive to curate for medical images. Self-supervised learning has the potential to make significant contributions to the development of robust medical imaging models through its ability to learn useful insights from copious medical datasets without labels. In this review, we provide consistent descriptions of different self-supervised learning strategies and compose a systematic review of papers published between 2012 and 2022 on PubMed, Scopus, and ArXiv that applied self-supervised learning to medical imaging classification. We screened a total of 412 relevant studies and included 79 papers for data extraction and analysis. With this comprehensive effort, we synthesize the collective knowledge of prior work and provide implementation guidelines for future researchers interested in applying self-supervised learning to their development of medical imaging classification models. © 2023, The Author(s).","Deep learning; Image classification; Image enhancement; Learning systems; Medical computing; Medical imaging; Cost prohibitive; Imaging modeling; Labeled training data; Learn+; Learning models; Learning strategy; Medical data sets; Medical image analysis; Medical image classification; Systematic Review; data extraction; diagnostic imaging; human; learning; Medline; practice guideline; review; Scopus; systematic review; Supervised learning","Nature Research","Review","Final","Scopus","2-s2.0-85156170930"
"Fiorillo L.; Monachino G.; van der Meer J.; Pesce M.; Warncke J.D.; Schmidt M.H.; Bassetti C.L.A.; Tzovara A.; Favaro P.; Faraci F.D.","Fiorillo, Luigi (57210829278); Monachino, Giuliana (57909577200); van der Meer, Julia (57215422639); Pesce, Marco (57909577300); Warncke, Jan D. (57191953093); Schmidt, Markus H. (7404398670); Bassetti, Claudio L. A. (7005005214); Tzovara, Athina (39062360800); Favaro, Paolo (57207500120); Faraci, Francesca D. (35117462000)","57210829278; 57909577200; 57215422639; 57909577300; 57191953093; 7404398670; 7005005214; 39062360800; 57207500120; 35117462000","U-Sleep’s resilience to AASM guidelines","2023","npj Digital Medicine","1","10.1038/s41746-023-00784-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149951666&doi=10.1038%2fs41746-023-00784-0&partnerID=40&md5=ee775367be4dddd8e0ee7621fc62e1da","AASM guidelines are the result of decades of efforts aiming at standardizing sleep scoring procedure, with the final goal of sharing a worldwide common methodology. The guidelines cover several aspects from the technical/digital specifications, e.g., recommended EEG derivations, to detailed sleep scoring rules accordingly to age. Automated sleep scoring systems have always largely exploited the standards as fundamental guidelines. In this context, deep learning has demonstrated better performance compared to classical machine learning. Our present work shows that a deep learning-based sleep scoring algorithm may not need to fully exploit the clinical knowledge or to strictly adhere to the AASM guidelines. Specifically, we demonstrate that U-Sleep, a state-of-the-art sleep scoring algorithm, can be strong enough to solve the scoring task even using clinically non-recommended or non-conventional derivations, and with no need to exploit information about the chronological age of the subjects. We finally strengthen a well-known finding that using data from multiple data centers always results in a better performing model compared with training on a single cohort. Indeed, we show that this latter statement is still valid even by increasing the size and the heterogeneity of the single data cohort. In all our experiments we used 28528 polysomnography studies from 13 different clinical studies. © 2023, The Author(s).","Sleep research; Chronological age; Clinical knowledge; Datacenter; Machine-learning; Multiple data; Performance; Scoring algorithms; Scoring rules; Scoring systems; State of the art; adult; age; algorithm; article; controlled study; deep learning; female; human; human experiment; machine learning; male; multicenter study (topic); polysomnography; practice guideline; sleep; Deep learning","Nature Research","Article","Final","Scopus","2-s2.0-85149951666"
"Wu X.D.; Li R.C.; He Z.; Yu T.Z.; Cheng C.Q.","Wu, XiaoDan (57894438200); Li, RuiChang (57894438100); He, Zhen (57746776700); Yu, TianZhi (56167459100); Cheng, ChangQing (36909872200)","57894438200; 57894438100; 57746776700; 56167459100; 36909872200","A value-based deep reinforcement learning model with human expertise in optimal treatment of sepsis","2023","npj Digital Medicine","2","10.1038/s41746-023-00755-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147332402&doi=10.1038%2fs41746-023-00755-5&partnerID=40&md5=d71defe411f07ae2d562365d108dd754","Deep Reinforcement Learning (DRL) has been increasingly attempted in assisting clinicians for real-time treatment of sepsis. While a value function quantifies the performance of policies in such decision-making processes, most value-based DRL algorithms cannot evaluate the target value function precisely and are not as safe as clinical experts. In this study, we propose a Weighted Dueling Double Deep Q-Network with embedded human Expertise (WD3QNE). A target Q value function with adaptive dynamic weight is designed to improve the estimate accuracy and human expertise in decision-making is leveraged. In addition, the random forest algorithm is employed for feature selection to improve model interpretability. We test our algorithm against state-of-the-art value function methods in terms of expected return, survival rate, action distribution and external validation. The results demonstrate that WD3QNE obtains the highest survival rate of 97.81% in MIMIC-III dataset. Our proposed method is capable of providing reliable treatment decisions with embedded clinician expertise. © 2023, The Author(s).","Decision making; Deep learning; Learning systems; hypertensive factor; Decision-making process; Human expertise; Optimal treatment; Performance; Real- time; Reinforcement learning models; Reinforcement learnings; Survival rate; Value functions; Value-based; adult; Article; cohort analysis; controlled study; deep neural network; deep reinforcement learning; feature selection; female; human; in-hospital mortality; intensive care unit; laboratory test; machine learning; major clinical study; male; medical decision making; random forest; reward; sensitivity analysis; sepsis; Sequential Organ Failure Assessment Score; survival rate; vital sign; Reinforcement learning","Nature Research","Article","Final","Scopus","2-s2.0-85147332402"
"Colloud S.; Metcalfe T.; Askin S.; Belachew S.; Ammann J.; Bos E.; Kilchenmann T.; Strijbos P.; Eggenspieler D.; Servais L.; Garay C.; Konstantakopoulos A.; Ritzhaupt A.; Vetter T.; Vincenzi C.; Cerreta F.","Colloud, Seya (58094787200); Metcalfe, Thomas (57216753194); Askin, Scott (57192269834); Belachew, Shibeshih (6603818257); Ammann, Johannes (57191620643); Bos, Ernst (58168293800); Kilchenmann, Timothy (57195628079); Strijbos, Paul (57275125600); Eggenspieler, Damien (57226146307); Servais, Laurent (6701450445); Garay, Chloé (57205334748); Konstantakopoulos, Athanasios (58168075300); Ritzhaupt, Armin (57520759100); Vetter, Thorsten (56596352600); Vincenzi, Claudia (58167433600); Cerreta, Francesca (55273817900)","58094787200; 57216753194; 57192269834; 6603818257; 57191620643; 58168293800; 57195628079; 57275125600; 57226146307; 6701450445; 57205334748; 58168075300; 57520759100; 56596352600; 58167433600; 55273817900","Evolving regulatory perspectives on digital health technologies for medicinal product development","2023","npj Digital Medicine","0","10.1038/s41746-023-00790-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151436919&doi=10.1038%2fs41746-023-00790-2&partnerID=40&md5=969e05e94d5bd4d389ad826822195821","Digital health technology tools (DHTTs) present real opportunities for accelerating innovation, improving patient care, reducing clinical trial duration and minimising risk in medicines development. This review is comprised of four case studies of DHTTs used throughout the lifecycle of medicinal products, starting from their development. These cases illustrate how the regulatory requirements of DHTTs used in medicines development are based on two European regulatory frameworks (medical device and the medicinal product regulations) and highlight the need for increased collaboration between various stakeholders, including regulators (medicines regulators and device bodies), pharmaceutical sponsors, manufacturers of devices and software, and academia. As illustrated in the examples, the complexity of the interactions is further increased by unique challenges related to DHTTs. These case studies are the main examples of DHTTs with a regulatory assessment thus far, providing an insight into the applicable current regulatory approach; they were selected by a group of authors, including regulatory specialists from pharmaceutical sponsors, technology experts, academic researchers and employees of the European Medicines Agency. For each case study, the challenges faced by sponsors and proposed potential solutions are discussed, and the benefit of a structured interaction among the different stakeholders is also highlighted. © 2023, The Author(s).","Life cycle; Medical applications; 'current; Case-studies; Clinical trial; Health technology; Medical Devices; Medicinal products; Patient care; Regulatory assessment; Regulatory frameworks; Regulatory requirements; cancer patient; diabetes mellitus; digital technology; drug industry; Duchenne muscular dystrophy; employee; European; European Medicines Agency; government regulation; human; intersectoral collaboration; malignant neoplasm; measurement; mental function; multiple sclerosis; patient monitoring; physical mobility; product development; Review; scientist; software; stakeholder engagement; Health risks","Nature Research","Review","Final","Scopus","2-s2.0-85151436919"
"Boswell M.A.; Kidziński Ł.; Hicks J.L.; Uhlrich S.D.; Falisse A.; Delp S.L.","Boswell, Melissa A. (57221715457); Kidziński, Łukasz (56912415000); Hicks, Jennifer L. (36914545000); Uhlrich, Scott D. (57197800179); Falisse, Antoine (57194854911); Delp, Scott L. (7006426955)","57221715457; 56912415000; 36914545000; 57197800179; 57194854911; 7006426955","Smartphone videos of the sit-to-stand test predict osteoarthritis and health outcomes in a nationwide study","2023","npj Digital Medicine","0","10.1038/s41746-023-00775-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149959446&doi=10.1038%2fs41746-023-00775-1&partnerID=40&md5=6f3cec0c819d6f52668039f7bd162141","Physical function decline due to aging or disease can be assessed with quantitative motion analysis, but this currently requires expensive laboratory equipment. We introduce a self-guided quantitative motion analysis of the widely used five-repetition sit-to-stand test using a smartphone. Across 35 US states, 405 participants recorded a video performing the test in their homes. We found that the quantitative movement parameters extracted from the smartphone videos were related to a diagnosis of osteoarthritis, physical and mental health, body mass index, age, and ethnicity and race. Our findings demonstrate that at-home movement analysis goes beyond established clinical metrics to provide objective and inexpensive digital outcome metrics for nationwide studies. © 2023, The Author(s).","Diagnosis; Laboratories; mHealth; Motion analysis; Body mass; Health outcomes; Laboratory equipments; Mass index; Mental health; Physical function; Physical health; Sit-to-stand; Smart phones; Stand test; adult; aged; Article; body mass; computer vision; ethnicity; female; health; health care survey; human; kinematics; knee osteoarthritis; major clinical study; male; measurement; mental health; osteoarthritis; outcome assessment; physical activity; quality of life; questionnaire; sit-to-stand test; statistics; treatment outcome; very elderly; Smartphones","Nature Research","Article","Final","Scopus","2-s2.0-85149959446"
"Anguera J.A.; Rowe M.A.; Volponi J.J.; Elkurdi M.; Jurigova B.; Simon A.J.; Anguera-Singla R.; Gallen C.L.; Gazzaley A.; Marco E.J.","Anguera, J.A. (23017788300); Rowe, M.A. (57212140381); Volponi, J.J. (57196004313); Elkurdi, M. (58191745600); Jurigova, B. (57200542652); Simon, A.J. (57190401708); Anguera-Singla, R. (57221744374); Gallen, C.L. (50961097700); Gazzaley, A. (6602657531); Marco, E.J. (7006306732)","23017788300; 57212140381; 57196004313; 58191745600; 57200542652; 57190401708; 57221744374; 50961097700; 6602657531; 7006306732","Enhancing attention in children using an integrated cognitive-physical videogame: A pilot study","2023","npj Digital Medicine","0","10.1038/s41746-023-00812-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85153276121&doi=10.1038%2fs41746-023-00812-z&partnerID=40&md5=d8f8191573116d049c7bf7cc3f3af9bc","Inattention can negatively impact several aspects of a child’s life, including at home and school. Cognitive and physical interventions are two promising non-pharmaceutical approaches used to enhance attention abilities, with combined approaches often being marketed to teachers, therapists, and parents typically without research validation. Here, we assessed the feasibility of incorporating an integrated, cognitive-physical, closed-loop video game (body-brain trainer or ‘BBT’) as an after-school program, and also evaluated if there were attention benefits following its use. Twenty-two children (7–12 years of age) with a range of attention abilities were recruited to participate in this proof of concept, single-arm, longitudinal study (24 sessions over 8 weeks, ~30 min/day). We interrogated attention abilities through a parent survey of their child’s behaviors, in addition to objective performance-based and neural measures of attention. Here we observed 95% compliance as well as, significant improvements on the parent-based reports of inattention and on cognitive tests and neural measures of attention that were comparable in scale to previous work. Exploratory measures of other cognitive control abilities and physical fitness also showed similar improvement, with exploratory evaluation of retained benefits on the primary attention-related outcomes being present 1-year later. Lastly, there was no correlation between the baseline parent-rated inattention score and the improvement on the primary task-based measures of attention, suggesting that intervention-based benefits were not solely attained by those who stood the most to gain. These pilot findings warrant future research to replicate and extend these findings. © 2023, The Author(s).","Closed-loop; Cognitive tests; Longitudinal study; Performance based; Pilot studies; Proof of concept; Research validation; School project; Teachers'; Video-games; article; attention; brain; case report; child; clinical article; executive function; exploratory research; feasibility study; female; fitness; human; human experiment; longitudinal study; male; outcome assessment; pilot study; proof of concept; school child; video game; Human computer interaction","Nature Research","Article","Final","Scopus","2-s2.0-85153276121"
"Guillaudeux M.; Rousseau O.; Petot J.; Bennis Z.; Dein C.-A.; Goronflot T.; Vince N.; Limou S.; Karakachoff M.; Wargny M.; Gourraud P.-A.","Guillaudeux, Morgan (57211139533); Rousseau, Olivia (57221643298); Petot, Julien (57801863800); Bennis, Zineb (57382212200); Dein, Charles-Axel (57801863900); Goronflot, Thomas (57207938110); Vince, Nicolas (35339924900); Limou, Sophie (23393099600); Karakachoff, Matilde (55252344500); Wargny, Matthieu (55939607900); Gourraud, Pierre-Antoine (6506489910)","57211139533; 57221643298; 57801863800; 57382212200; 57801863900; 57207938110; 35339924900; 23393099600; 55252344500; 55939607900; 6506489910","Patient-centric synthetic data generation, no reason to risk re-identification in biomedical data analysis","2023","npj Digital Medicine","0","10.1038/s41746-023-00771-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150214462&doi=10.1038%2fs41746-023-00771-5&partnerID=40&md5=649578148dcc19581e31ffe2d19d9770","While nearly all computational methods operate on pseudonymized personal data, re-identification remains a risk. With personal health data, this re-identification risk may be considered a double-crossing of patients’ trust. Herein, we present a new method to generate synthetic data of individual granularity while holding on to patients’ privacy. Developed for sensitive biomedical data, the method is patient-centric as it uses a local model to generate random new synthetic data, called an “avatar data”, for each initial sensitive individual. This method, compared with 2 other synthetic data generation techniques (Synthpop, CT-GAN), is applied to real health data with a clinical trial and a cancer observational study to evaluate the protection it provides while retaining the original statistical information. Compared to Synthpop and CT-GAN, the Avatar method shows a similar level of signal maintenance while allowing to compute additional privacy metrics. In the light of distance-based privacy metrics, each individual produces an avatar simulation that is on average indistinguishable from 12 other generated avatar simulations for the clinical trial and 24 for the observational study. Data transformation using the Avatar method both preserves, the evaluation of the treatment’s effectiveness with similar hazard ratios for the clinical trial (original HR = 0.49 [95% CI, 0.39–0.63] vs. avatar HR = 0.40 [95% CI, 0.31–0.52]) and the classification properties for the observational study (original AUC = 99.46 (s.e. 0.25) vs. avatar AUC = 99.84 (s.e. 0.12)). Once validated by privacy metrics, anonymous synthetic data enable the creation of value from sensitive pseudonymized data analyses by tackling the risk of a privacy breach. © 2023, The Author(s).","Medical applications; Metadata; Risk assessment; Sensitive data; Biomedical data analysis; Clinical trial; Health data; Observational study; Patient privacies; Personal health; Privacy metric; Re identifications; Synthetic data; Synthetic data generations; anonymised data; Article; avatar method; clinical evaluation; data analysis; generative adversarial network; health data; human; malignant neoplasm; model; observational study; privacy; statistical significance; validation study; Health risks","Nature Research","Article","Final","Scopus","2-s2.0-85150214462"
