"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Index Keywords","Publisher","Document Type","Publication Stage","Source","EID"
"Kube A.R.; Das S.; Fowler P.J.","Kube, Amanda R. (57205186792); Das, Sanmay (55476999400); Fowler, Patrick J. (24463988400)","57205186792; 55476999400; 24463988400","Community- and data-driven homelessness prevention and service delivery: optimizing for equity","2023","Journal of the American Medical Informatics Association : JAMIA","0","10.1093/jamia/ocad052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159769989&doi=10.1093%2fjamia%2focad052&partnerID=40&md5=f5b0bcd563f13a9ed8c5e2b6eb449fb5","OBJECTIVE: The study tests a community- and data-driven approach to homelessness prevention. Federal policies call for efficient and equitable local responses to homelessness. However, the overwhelming demand for limited homeless assistance is challenging without empirically supported decision-making tools and raises questions of whom to serve with scarce resources. MATERIALS AND METHODS: System-wide administrative records capture the delivery of an array of homeless services (prevention, shelter, short-term housing, supportive housing) and whether households reenter the system within 2 years. Counterfactual machine learning identifies which service most likely prevents reentry for each household. Based on community input, predictions are aggregated for subpopulations of interest (race/ethnicity, gender, families, youth, and health conditions) to generate transparent prioritization rules for whom to serve first. Simulations of households entering the system during the study period evaluate whether reallocating services based on prioritization rules compared with services-as-usual. RESULTS: Homelessness prevention benefited households who could access it, while differential effects exist for homeless households that partially align with community interests. Households with comorbid health conditions avoid homelessness most when provided longer-term supportive housing, and families with children fare best in short-term rentals. No additional differential effects existed for intersectional subgroups. Prioritization rules reduce community-wide homelessness in simulations. Moreover, prioritization mitigated observed reentry disparities for female and unaccompanied youth without excluding Black and families with children. DISCUSSION: Leveraging administrative records with machine learning supplements local decision-making and enables ongoing evaluation of data- and equity-driven homeless services. CONCLUSIONS: Community- and data-driven prioritization rules more equitably target scarce homeless resources. © The Author(s) 2023. Published by Oxford University Press on behalf of the American Medical Informatics Association.","Adolescent; Child; Ethnicity; Female; Housing; Humans; Ill-Housed Persons; adolescent; child; ethnicity; female; homeless person; housing; human","NLM (Medline)","Article","Final","Scopus","2-s2.0-85159769989"
"Hendrix N.; Hauber B.; Lee C.I.; Bansal A.; Veenstra D.L.","Hendrix, Nathaniel (57198432015); Hauber, Brett (6602340841); Lee, Christoph I. (55644003749); Bansal, Aasthaa (37664417600); Veenstra, David L. (7004376383)","57198432015; 6602340841; 55644003749; 37664417600; 7004376383","Artificial intelligence in breast cancer screening: primary care provider preferences","2021","Journal of the American Medical Informatics Association : JAMIA","16","10.1093/jamia/ocaa292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108303414&doi=10.1093%2fjamia%2focaa292&partnerID=40&md5=f0578907cf134aae34f46c2dda62c096","BACKGROUND: Artificial intelligence (AI) is increasingly being proposed for use in medicine, including breast cancer screening (BCS). Little is known, however, about referring primary care providers' (PCPs') preferences for this technology. METHODS: We identified the most important attributes of AI BCS for ordering PCPs using qualitative interviews: sensitivity, specificity, radiologist involvement, understandability of AI decision-making, supporting evidence, and diversity of training data. We invited US-based PCPs to participate in an internet-based experiment designed to force participants to trade off among the attributes of hypothetical AI BCS products. Responses were analyzed with random parameters logit and latent class models to assess how different attributes affect the choice to recommend AI-enhanced screening. RESULTS: Ninety-one PCPs participated. Sensitivity was most important, and most PCPs viewed radiologist participation in mammography interpretation as important. Other important attributes were specificity, understandability of AI decision-making, and diversity of data. We identified 3 classes of respondents: ""Sensitivity First"" (41%) found sensitivity to be more than twice as important as other attributes; ""Against AI Autonomy"" (24%) wanted radiologists to confirm every image; ""Uncertain Trade-Offs"" (35%) viewed most attributes as having similar importance. A majority (76%) accepted the use of AI in a ""triage"" role that would allow it to filter out likely negatives without radiologist confirmation. CONCLUSIONS AND RELEVANCE: Sensitivity was the most important attribute overall, but other key attributes should be addressed to produce clinically acceptable products. We also found that most PCPs accept the use of AI to make determinations about likely negative mammograms without radiologist confirmation. © The Author(s) 2020. Published by Oxford University Press on behalf of the American Medical Informatics Association. All rights reserved. For permissions, please email: journals.permissions@oup.com.","Artificial Intelligence; Attitude of Health Personnel; Attitude to Computers; Breast Neoplasms; Early Detection of Cancer; Female; Humans; Male; Mammography; Physicians, Primary Care; Primary Health Care; Radiographic Image Interpretation, Computer-Assisted; Sensitivity and Specificity; United States; artificial intelligence; attitude to computers; breast tumor; computer assisted diagnosis; early cancer diagnosis; female; general practitioner; health personnel attitude; human; male; mammography; primary health care; procedures; sensitivity and specificity; United States","NLM (Medline)","Article","Final","Scopus","2-s2.0-85108303414"
"Tariq A.; Lancaster L.; Elugunti P.; Siebeneck E.; Noe K.; Borah B.; Moriarty J.; Banerjee I.; Patel B.N.","Tariq, Amara (54581607600); Lancaster, Lin (58265523500); Elugunti, Praneetha (57668518600); Siebeneck, Eric (57193135110); Noe, Katherine (57711833800); Borah, Bijan (24469845900); Moriarty, James (14050472100); Banerjee, Imon (36095937900); Patel, Bhavik N. (57202858916)","54581607600; 58265523500; 57668518600; 57193135110; 57711833800; 24469845900; 14050472100; 36095937900; 57202858916","Graph convolutional network-based fusion model to predict risk of hospital acquired infections","2023","Journal of the American Medical Informatics Association : JAMIA","0","10.1093/jamia/ocad045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159760293&doi=10.1093%2fjamia%2focad045&partnerID=40&md5=c67c5a1fc4021d297e1746edcc1eac16","OBJECTIVE: Hospital acquired infections (HAIs) are one of the top 10 leading causes of death within the United States. While current standard of HAI risk prediction utilizes only a narrow set of predefined clinical variables, we propose a graph convolutional neural network (GNN)-based model which incorporates a wide variety of clinical features. MATERIALS AND METHODS: Our GNN-based model defines patients' similarity based on comprehensive clinical history and demographics and predicts all types of HAI rather than focusing on a single subtype. An HAI model was trained on 38 327 unique hospitalizations while a distinct model for surgical site infection (SSI) prediction was trained on 18 609 hospitalization. Both models were tested internally and externally on a geographically disparate site with varying infection rates. RESULTS: The proposed approach outperformed all baselines (single-modality models and length-of-stay [LoS]) with achieved area under the receiver operating characteristics of 0.86 [0.84-0.88] and 0.79 [0.75-0.83] (HAI), and 0.79 [0.75-0.83] and 0.76 [0.71-0.76] (SSI) for internal and external testing. Cost-effective analysis shows that the GNN modeling dominated the standard LoS model strategy on the basis of lower mean costs ($1651 vs $1915). DISCUSSION: The proposed HAI risk prediction model can estimate individualized risk of infection for patient by taking into account not only the patient's clinical features, but also clinical features of similar patients as indicated by edges of the patients' graph. CONCLUSIONS: The proposed model could allow prevention or earlier detection of HAI, which in turn could decrease hospital LoS and associated mortality, and ultimately reduce the healthcare cost. © The Author(s) 2023. Published by Oxford University Press on behalf of the American Medical Informatics Association. All rights reserved. For permissions, please email: journals.permissions@oup.com.","Cross Infection; Health Care Costs; Hospitalization; Hospitals; Humans; Length of Stay; Surgical Wound Infection; United States; cross infection; health care cost; hospital; hospitalization; human; length of stay; surgical infection; United States","NLM (Medline)","Article","Final","Scopus","2-s2.0-85159760293"
"Stellmach C.; Sass J.; Auber B.; Boeker M.; Wienker T.; Heidel A.J.; Benary M.; Schumacher S.; Ossowski S.; Klauschen F.; Möller Y.; Schmutzler R.; Ustjanzew A.; Werner P.; Tomczak A.; Hölter T.; Thun S.","Stellmach, Caroline (57225175424); Sass, Julian (57201945716); Auber, Bernd (22833658900); Boeker, Martin (24331040500); Wienker, Thomas (7006044822); Heidel, Andrew J. (7801320364); Benary, Manuela (26767499000); Schumacher, Simon (57217256655); Ossowski, Stephan (23489906200); Klauschen, Frederick (25226886200); Möller, Yvonne (56418734000); Schmutzler, Rita (58264209500); Ustjanzew, Arsenij (57221349700); Werner, Patrick (57224206314); Tomczak, Aurelie (57217251657); Hölter, Thimo (58264397500); Thun, Sylvia (26535208000)","57225175424; 57201945716; 22833658900; 24331040500; 7006044822; 7801320364; 26767499000; 57217256655; 23489906200; 25226886200; 56418734000; 58264209500; 57221349700; 57224206314; 57217251657; 58264397500; 26535208000","Creation of a structured molecular genomics report for Germany as a local adaption of HL7's Genomic Reporting Implementation Guide","2023","Journal of the American Medical Informatics Association : JAMIA","0","10.1093/jamia/ocad061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159766232&doi=10.1093%2fjamia%2focad061&partnerID=40&md5=362e59038049e8ea51b1dcdf3bd17890","OBJECTIVE: The objective was to develop a dataset definition, information model, and FHIR® specification for key data elements contained in a German molecular genomics (MolGen) report to facilitate genomic and phenotype integration in electronic health records. MATERIALS AND METHODS: A dedicated expert group participating in the German Medical Informatics Initiative reviewed information contained in MolGen reports, determined the key elements, and formulated a dataset definition. HL7's Genomics Reporting Implementation Guide (IG) was adopted as a basis for the FHIR® specification which was subjected to a public ballot. In addition, elements in the MolGen dataset were mapped to the fields defined in ISO/TS 20428:2017 standard to evaluate compliance. RESULTS: A core dataset of 76 data elements, clustered into 6 categories was created to represent all key information of German MolGen reports. Based on this, a FHIR specification with 16 profiles, 14 derived from HL7®'s Genomics Reporting IG and 2 additional profiles (of the FamilyMemberHistory and RiskAssessment resources), was developed. Five example resource bundles show how our adaptation of an international standard can be used to model MolGen report data that was requested following oncological or rare disease indications. Furthermore, the map of the MolGen report data elements to the fields defined by the ISO/TC 20428:2017 standard, confirmed the presence of the majority of required fields. CONCLUSIONS: Our report serves as a template for other research initiatives attempting to create a standard format for unstructured genomic report data. Use of standard formats facilitates integration of genomic data into electronic health records for clinical decision support. © The Author(s) 2023. Published by Oxford University Press on behalf of the American Medical Informatics Association.","Decision Support Systems, Clinical; Electronic Health Records; Genomics; Germany; Health Level Seven; clinical decision support system; electronic health record; genomics; Germany; health level 7","NLM (Medline)","Article","Final","Scopus","2-s2.0-85159766232"
"Hatfield M.; Nguyen T.H.; Chapman R.; Myrick A.C.; Leng T.; Mbagwu M.; Baxi S.; Torres A.Z.; Borkar D.S.","Hatfield, Meghan (58264399300); Nguyen, Thai Hien (58264210700); Chapman, Richard (58264762700); Myrick, Alayna C. (58264762800); Leng, Theodore (37051202000); Mbagwu, Michael (36612050400); Baxi, Shrujal (57579125200); Torres, Aracelis Z. (58061488900); Borkar, Durga S. (55460622400)","58264399300; 58264210700; 58264762700; 58264762800; 37051202000; 36612050400; 57579125200; 58061488900; 55460622400","Identifying the mechanism of missingness for unspecified diabetic retinopathy disease severity in the electronic health record: an IRIS® Registry analysis","2023","Journal of the American Medical Informatics Association : JAMIA","0","10.1093/jamia/ocad037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159764730&doi=10.1093%2fjamia%2focad037&partnerID=40&md5=e4fc6e47840ea5484c806095ee7869e2","Observational studies of diabetic retinopathy (DR) using electronic health record data often determine disease severity using International Classification of Disease (ICD) codes. We investigated the mechanism of missingness for DR severity based on ICD coding using the American Academy of Ophthalmology IRIS® Registry. We included all patient encounters in the registry with a DR ICD-9 or ICD-10 code between January 1, 2014 and June 30, 2021. Demographic, clinical, and practice-level characteristics were compared between encounters with specified and unspecified disease severity. Practices were divided into quartiles based on the proportion of clinical encounters with unspecified DR severity. Encounters with unspecified disease severity were associated with significantly older patient age, better visual acuity, and lower utilization of ophthalmic procedures. Higher volume practices and retina specialist practices had lower proportions of clinical encounters with unspecified disease severity. Results strongly suggest that DR disease severity related to ICD coding is missing not at random. © The Author(s) 2023. Published by Oxford University Press on behalf of the American Medical Informatics Association. All rights reserved. For permissions, please email: journals.permissions@oup.com.","Diabetes Mellitus; Diabetic Retinopathy; Electronic Health Records; Humans; Patient Acuity; Registries; Retina; Retrospective Studies; diabetes mellitus; diabetic retinopathy; electronic health record; human; patient acuity; register; retina; retrospective study","NLM (Medline)","Article","Final","Scopus","2-s2.0-85159764730"
"Randell R.; Greenhalgh J.; Dowding D.","Randell, Rebecca (55903888300); Greenhalgh, Joanne (35901502500); Dowding, Dawn (6701760976)","55903888300; 35901502500; 6701760976","Using realist reviews to understand how health IT works, for whom, and in what circumstances","2015","Journal of the American Medical Informatics Association : JAMIA","5","10.1093/jamia/ocu006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937217682&doi=10.1093%2fjamia%2focu006&partnerID=40&md5=e1e7c8b7ffaa4809695bf259a476feff","[No abstract available]","Electronic Health Records; Humans; Patient Access to Records; Treatment Outcome; electronic medical record; human; patient right; treatment outcome","","Letter","Final","Scopus","2-s2.0-84937217682"
"Streed C.G.; King D.; Grasso C.; Reisner S.L.; Mayer K.H.; Jasuja G.K.; Poteat T.; Mukherjee M.; Shapira-Daniels A.; Cabral H.; Tangpricha V.; Paasche-Orlow M.K.; Benjamin E.J.","Streed, Carl G. (57189330813); King, Dana (56424719400); Grasso, Chris (23972666500); Reisner, Sari L. (24177244200); Mayer, Kenneth H. (56760924000); Jasuja, Guneet K. (8261167300); Poteat, Tonia (42062125800); Mukherjee, Monica (54584152700); Shapira-Daniels, Ayelet (57193709184); Cabral, Howard (35459118500); Tangpricha, Vin (6602361142); Paasche-Orlow, Michael K. (6603331238); Benjamin, Emelia J. (58264216700)","57189330813; 56424719400; 23972666500; 24177244200; 56760924000; 8261167300; 42062125800; 54584152700; 57193709184; 35459118500; 6602361142; 6603331238; 58264216700","Validation of an administrative algorithm for transgender and gender diverse persons against self-report data in electronic health records","2023","Journal of the American Medical Informatics Association : JAMIA","0","10.1093/jamia/ocad039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159761424&doi=10.1093%2fjamia%2focad039&partnerID=40&md5=948d534ce290de50c8cd5085760f2c75","OBJECTIVE: To adapt and validate an algorithm to ascertain transgender and gender diverse (TGD) patients within electronic health record (EHR) data. METHODS: Using a previously unvalidated algorithm of identifying TGD persons within administrative claims data in a multistep, hierarchical process, we validated this algorithm in an EHR data set with self-reported gender identity. RESULTS: Within an EHR data set of 52 746 adults with self-reported gender identity (gold standard) a previously unvalidated algorithm to identify TGD persons via TGD-related diagnosis and procedure codes, and gender-affirming hormone therapy prescription data had a sensitivity of 87.3% (95% confidence interval [CI] 86.4-88.2), specificity of 98.7% (95% CI 98.6-98.8), positive predictive value (PPV) of 88.7% (95% CI 87.9-89.4), and negative predictive value (NPV) of 98.5% (95% CI 98.4-98.6). The area under the curve (AUC) was 0.930 (95% CI 0.925-0.935). Steps to further categorize patients as presumably TGD men versus women based on prescription data performed well: sensitivity of 97.6%, specificity of 92.7%, PPV of 93.2%, and NPV of 97.4%. The AUC was 0.95 (95% CI 0.94-0.96). CONCLUSIONS: In the absence of self-reported gender identity data, an algorithm to identify TGD patients in administrative data using TGD-related diagnosis and procedure codes, and gender-affirming hormone prescriptions performs well. © The Author(s) 2023. Published by Oxford University Press on behalf of the American Medical Informatics Association. All rights reserved. For permissions, please email: journals.permissions@oup.com.","Adult; Algorithms; Electronic Health Records; Female; Gender Identity; Hormones; Humans; Male; Self Report; Transgender Persons; hormone; adult; algorithm; electronic health record; female; gender identity; human; male; self report; transgender","NLM (Medline)","Article","Final","Scopus","2-s2.0-85159761424"
"Yang L.; Wang S.; Altman R.B.","Yang, Lu (57867042300); Wang, Sheng (57207088381); Altman, Russ B. (7202798518)","57867042300; 57207088381; 7202798518","POPDx: an automated framework for patient phenotyping across 392 246 individuals in the UK Biobank study","2023","Journal of the American Medical Informatics Association : JAMIA","1","10.1093/jamia/ocac226","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146484760&doi=10.1093%2fjamia%2focac226&partnerID=40&md5=0f994e892421851c926ac05cc0f4bf87","OBJECTIVE: For the UK Biobank, standardized phenotype codes are associated with patients who have been hospitalized but are missing for many patients who have been treated exclusively in an outpatient setting. We describe a method for phenotype recognition that imputes phenotype codes for all UK Biobank participants. MATERIALS AND METHODS: POPDx (Population-based Objective Phenotyping by Deep Extrapolation) is a bilinear machine learning framework for simultaneously estimating the probabilities of 1538 phenotype codes. We extracted phenotypic and health-related information of 392 246 individuals from the UK Biobank for POPDx development and evaluation. A total of 12 803 ICD-10 diagnosis codes of the patients were converted to 1538 phecodes as gold standard labels. The POPDx framework was evaluated and compared to other available methods on automated multiphenotype recognition. RESULTS: POPDx can predict phenotypes that are rare or even unobserved in training. We demonstrate substantial improvement of automated multiphenotype recognition across 22 disease categories, and its application in identifying key epidemiological features associated with each phenotype. CONCLUSIONS: POPDx helps provide well-defined cohorts for downstream studies. It is a general-purpose method that can be applied to other biobanks with diverse but incomplete data. © The Author(s) 2022. Published by Oxford University Press on behalf of the American Medical Informatics Association.","Biological Specimen Banks; Machine Learning; Phenotype; United Kingdom; biobank; machine learning; phenotype; United Kingdom","NLM (Medline)","Article","Final","Scopus","2-s2.0-85146484760"
"","","","Celebrating G. Octo Barnett, MD","2020","Journal of the American Medical Informatics Association : JAMIA","0","10.1093/jamia/ocaa170","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090818716&doi=10.1093%2fjamia%2focaa170&partnerID=40&md5=7ca76d4e345d4f85a27d0b839549dbc1","[No abstract available]","Electronic Health Records; History, 20th Century; History, 21st Century; Medical Informatics; electronic health record; history; medical informatics","NLM (Medline)","Article","Final","Scopus","2-s2.0-85090818716"
"Chambon P.J.; Wu C.; Steinkamp J.M.; Adleberg J.; Cook T.S.; Langlotz C.P.","Chambon, Pierre J. (57226150182); Wu, Christopher (58070257000); Steinkamp, Jackson M. (57200859444); Adleberg, Jason (57194592917); Cook, Tessa S. (36144992200); Langlotz, Curtis P. (20134955200)","57226150182; 58070257000; 57200859444; 57194592917; 36144992200; 20134955200","Automated deidentification of radiology reports combining transformer and ""hide in plain sight"" rule-based methods","2023","Journal of the American Medical Informatics Association : JAMIA","0","10.1093/jamia/ocac219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146484482&doi=10.1093%2fjamia%2focac219&partnerID=40&md5=dd9bfe2822ab74f725c10f43590cdb80","OBJECTIVE: To develop an automated deidentification pipeline for radiology reports that detect protected health information (PHI) entities and replaces them with realistic surrogates ""hiding in plain sight."" MATERIALS AND METHODS: In this retrospective study, 999 chest X-ray and CT reports collected between November 2019 and November 2020 were annotated for PHI at the token level and combined with 3001 X-rays and 2193 medical notes previously labeled, forming a large multi-institutional and cross-domain dataset of 6193 documents. Two radiology test sets, from a known and a new institution, as well as i2b2 2006 and 2014 test sets, served as an evaluation set to estimate model performance and to compare it with previously released deidentification tools. Several PHI detection models were developed based on different training datasets, fine-tuning approaches and data augmentation techniques, and a synthetic PHI generation algorithm. These models were compared using metrics such as precision, recall and F1 score, as well as paired samples Wilcoxon tests. RESULTS: Our best PHI detection model achieves 97.9 F1 score on radiology reports from a known institution, 99.6 from a new institution, 99.5 on i2b2 2006, and 98.9 on i2b2 2014. On reports from a known institution, it achieves 99.1 recall of detecting the core of each PHI span. DISCUSSION: Our model outperforms all deidentifiers it was compared to on all test sets as well as human labelers on i2b2 2014 data. It enables accurate and automatic deidentification of radiology reports. CONCLUSIONS: A transformer-based deidentification pipeline can achieve state-of-the-art performance for deidentifying radiology reports and other medical documents. © The Author(s) 2022. Published by Oxford University Press on behalf of the American Medical Informatics Association. All rights reserved. For permissions, please email: journals.permissions@oup.com.","Algorithms; Data Anonymization; Health Facilities; Humans; Natural Language Processing; Radiology; Retrospective Studies; algorithm; anonymization; health care facility; human; natural language processing; radiology; retrospective study","NLM (Medline)","Article","Final","Scopus","2-s2.0-85146484482"
